Date,Open,High,Low,Close,GDP,Unemployment Rate,Interest Rate,M2 Money Supply,Inflation
1992-10-20,592.2,595.82,590.68,592.7,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-21,593.77,597.41,592.69,597.15,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-22,597.31,597.76,594.8,597.12,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-23,597.95,599.2,596.67,597.3,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-26,596.5,599.11,595.62,598.92,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-27,599.83,600.44,595.1,596.95,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-28,596.62,601.67,596.02,601.39,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-29,602.64,606.43,601.39,605.82,6680.803,7.3,3.5,3423.8,3.6359146
1992-10-30,605.8,606.71,602.26,605.17,6680.803,7.3,3.5,3423.8,3.6359146
1992-11-02,605.48,607.74,603.44,607.57,6680.803,7.4,3.5,3426.5,3.629469745
1992-11-03,608.24,608.47,603.57,604.58,6680.803,7.4,3.5,3426.5,3.629469745
1992-11-04,604.29,606.43,603.23,605.52,6680.803,7.4,3.5,3426.5,3.629469745
1992-11-05,605.39,614.27,605.01,614.08,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-06,613.31,617.09,612.41,616.82,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-09,617.52,622.58,615.95,622.05,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-10,623.09,628.22,622.04,627.76,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-11,628.26,635.27,627.68,634.92,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-12,635.74,637.25,633.23,634.37,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-13,635.45,637.23,633.02,637.16,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-16,637.36,637.66,633.42,634.01,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-17,634.15,634.18,626.38,627.07,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-18,627.28,635.25,626.89,634.86,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-19,635.88,639.86,634.86,638.57,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-20,639.0,643.05,638.57,642.6,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-23,642.16,642.67,636.58,638.84,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-24,640.16,646.69,638.83,645.94,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-25,646.24,648.36,645.86,648.33,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-27,648.83,650.67,648.31,649.49,6680.803,7.4,3.0,3426.5,3.629469745
1992-11-30,650.86,652.77,648.75,652.73,6680.803,7.4,3.0,3426.5,3.629469745
1992-12-01,652.34,653.95,650.77,653.95,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-02,653.88,653.99,651.67,652.91,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-03,653.62,656.76,652.4,656.36,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-04,656.85,661.6,661.6,661.6,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-07,662.16,666.53,662.03,666.53,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-08,666.53,667.85,664.93,667.12,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-09,666.03,663.92,663.92,663.92,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-10,662.93,662.43,656.84,658.93,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-11,657.45,656.43,654.98,655.79,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-14,656.33,656.59,654.73,654.73,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-15,653.7,650.75,650.75,650.75,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-16,651.36,652.69,649.45,649.63,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-17,650.27,658.46,650.81,658.46,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-18,659.49,661.85,659.9,661.29,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-21,661.4,662.46,660.45,662.46,6680.803,7.4,3.0,3424.7,3.478262556
